"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"637","SLC16A2","ENSG00000147100","637.1.2","mct-3","WBGene00010834","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q93896]"
"637","SLC16A2","ENSG00000147100","637.1.3","mct-2","WBGene00015273","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RE14]"
"637","SLC16A2","ENSG00000147100","637.1.4","mct-6","WBGene00015676","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:O17328]"
"637","SLC16A2","ENSG00000147100","637.1.5","mct-5","WBGene00020168","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q22109]"
"637","SLC16A2","ENSG00000147100","637.1.6","mct-1","WBGene00021227","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RE14]"
"638","FZD2","ENSG00000180340","638.1.1","N/A","N/A","N/A"
"639","BAI2","N/A","639.1.1","N/A","N/A","N/A"
"640","LPHN1","N/A","640.1.1","N/A","N/A","N/A"
"641","LPHN2","N/A","641.1.1","N/A","N/A","N/A"
"642","CD177","ENSG00000204936","642.1.1","N/A","N/A","N/A"
"643","CLDN4","ENSG00000189143","643.1.1","N/A","N/A","N/A"
"644","SLC37A1","ENSG00000160190","644.1.1","eat-4","WBGene00001135","Probable vesicular glutamate transporter eat-4  [Source:UniProtKB/Swiss-Prot;Acc:P34644]"
"644","SLC37A1","ENSG00000160190","644.1.2","C18D1.2","WBGene00007669",""
"644","SLC37A1","ENSG00000160190","644.1.3","slc-17.2","WBGene00008000","Uncharacterized transporter slc-17.2  [Source:UniProtKB/Swiss-Prot;Acc:Q03567]"
"644","SLC37A1","ENSG00000160190","644.1.4","F11A5.9","WBGene00008677",""
"644","SLC37A1","ENSG00000160190","644.1.5","vglu-2","WBGene00010755","Vesicular GLUtamate transporter  [Source:UniProtKB/TrEMBL;Acc:G5EEK1]"
"644","SLC37A1","ENSG00000160190","644.1.6","M162.5","WBGene00010931",""
"644","SLC37A1","ENSG00000160190","644.1.7","R10D12.1","WBGene00011185",""
"644","SLC37A1","ENSG00000160190","644.1.8","vglu-3","WBGene00011556","Potential vesicular glutamate transporter vglu-3  [Source:UniProtKB/Swiss-Prot;Acc:Q10046]"
"644","SLC37A1","ENSG00000160190","644.1.9","Y15E3A.4","WBGene00012443",""
"644","SLC37A1","ENSG00000160190","644.1.10","C01B4.7","WBGene00015271",""
"644","SLC37A1","ENSG00000160190","644.1.11","C01B4.8","WBGene00015272",""
"644","SLC37A1","ENSG00000160190","644.1.12","C18H9.5","WBGene00016003",""
"644","SLC37A1","ENSG00000160190","644.1.13","F44E7.7","WBGene00018429",""
"644","SLC37A1","ENSG00000160190","644.1.14","F56A4.10","WBGene00018918",""
"644","SLC37A1","ENSG00000160190","644.1.15","F56A4.12","WBGene00018920",""
"644","SLC37A1","ENSG00000160190","644.1.16","H11E01.2","WBGene00019187",""
"644","SLC37A1","ENSG00000160190","644.1.17","K11G9.5","WBGene00019655",""
"644","SLC37A1","ENSG00000160190","644.1.18","T19D12.9","WBGene00020583",""
"644","SLC37A1","ENSG00000160190","644.1.19","T19D12.10","WBGene00020584",""
"644","SLC37A1","ENSG00000160190","644.1.20","T22F3.7","WBGene00020697",""
"644","SLC37A1","ENSG00000160190","644.1.21","T22F3.8","WBGene00020698",""
"644","SLC37A1","ENSG00000160190","644.1.22","T22F3.10","WBGene00020699",""
"644","SLC37A1","ENSG00000160190","644.1.23","T22F3.11","WBGene00020700",""
"644","SLC37A1","ENSG00000160190","644.1.24","Y4C6B.3","WBGene00021157",""
"644","SLC37A1","ENSG00000160190","644.1.25","Y4C6B.4","WBGene00021158",""
"644","SLC37A1","ENSG00000160190","644.1.26","Y19D10A.4","WBGene00021219",""
"644","SLC37A1","ENSG00000160190","644.1.27","Y19D10A.5","WBGene00021220",""
"644","SLC37A1","ENSG00000160190","644.1.28","Y19D10A.8","WBGene00021223",""
"644","SLC37A1","ENSG00000160190","644.1.29","Y19D10A.11","WBGene00021226",""
"644","SLC37A1","ENSG00000160190","644.1.30","C42C1.19","WBGene00302978",""
"645","GPC5","ENSG00000179399","645.1.1","N/A","N/A","N/A"
"646","SMO","ENSG00000128602","646.1.1","N/A","N/A","N/A"
"647","NRSN1","ENSG00000152954","647.1.1","N/A","N/A","N/A"
"648","TACR1","ENSG00000115353","648.1.1","tkr-1","WBGene00006576","Probable G-protein coupled receptor tkr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03566]"
"649","TACR2","ENSG00000075073","649.1.1","tkr-2","WBGene00016761","TachyKinin Receptor family  [Source:UniProtKB/TrEMBL;Acc:O44148]"
"650","TACR3","ENSG00000169836","650.1.1","tkr-1","WBGene00006576","Probable G-protein coupled receptor tkr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03566]"
"651","TMEM67","ENSG00000164953","651.1.1","mks-3","WBGene00018042","MecKel-Gruber Syndrome (MKS) homolog  [Source:UniProtKB/TrEMBL;Acc:Q20046]"
"652","TFR2","ENSG00000106327","652.1.1","N/A","N/A","N/A"
"653","CD109","ENSG00000156535","653.1.1","tep-1","WBGene00013969","TEP (ThiolEster containing Protein)  [Source:UniProtKB/TrEMBL;Acc:Q7JKM0]"
"654","GPR56","ENSG00000205336","654.1.1","N/A","N/A","N/A"
"655","MPL","ENSG00000117400","655.1.1","N/A","N/A","N/A"
"656","SIRPB1","ENSG00000101307","656.1.1","N/A","N/A","N/A"
"657","CD63","ENSG00000135404","657.1.1","tsp-7","WBGene00006633","Tetraspanin  [Source:UniProtKB/TrEMBL;Acc:Q9XVI4]"
"658","TNFRSF10B","ENSG00000120889","658.1.1","N/A","N/A","N/A"
"659","TNFRSF10C","ENSG00000173535","659.1.1","N/A","N/A","N/A"
"660","TNFRSF10D","ENSG00000173530","660.1.1","N/A","N/A","N/A"
"661","TNFRSF11A","ENSG00000141655","661.1.1","N/A","N/A","N/A"
"662","TNFRSF12A","ENSG00000006327","662.1.1","N/A","N/A","N/A"
"663","TNFRSF25","ENSG00000215788","663.1.1","N/A","N/A","N/A"
"664","TNFRSF13B","ENSG00000240505","664.1.1","N/A","N/A","N/A"
"665","TNFRSF13C","ENSG00000159958","665.1.1","N/A","N/A","N/A"
"666","TNFRSF17","ENSG00000048462","666.1.1","N/A","N/A","N/A"
"667","TNFRSF18","ENSG00000186891","667.1.1","N/A","N/A","N/A"
"668","TNFRSF4","ENSG00000186827","668.1.1","N/A","N/A","N/A"
"669","TNFRSF8","ENSG00000120949","669.1.1","N/A","N/A","N/A"
"670","TNFRSF9","ENSG00000049249","670.1.1","N/A","N/A","N/A"
"671","SLC5A11","ENSG00000158865","671.1.1","N/A","N/A","N/A"
"672","HTR1A","ENSG00000178394","672.1.1","ser-4","WBGene00004779","SERotonin/octopamine receptor family; Serotonin receptor  [Source:UniProtKB/TrEMBL;Acc:G5EGH0]"
"673","HTR1B","ENSG00000135312","673.1.1","N/A","N/A","N/A"
"674","HTR1D","ENSG00000179546","674.1.1","ser-4","WBGene00004779","SERotonin/octopamine receptor family; Serotonin receptor  [Source:UniProtKB/TrEMBL;Acc:G5EGH0]"
"675","HTR1E","ENSG00000168830","675.1.1","N/A","N/A","N/A"
"676","HTR1F","ENSG00000179097","676.1.1","N/A","N/A","N/A"
"677","HTR2B","ENSG00000135914","677.1.1","N/A","N/A","N/A"
"678","HTR4","ENSG00000164270","678.1.1","N/A","N/A","N/A"
"679","HTR5A","ENSG00000157219","679.1.1","N/A","N/A","N/A"
"680","HTR7","ENSG00000148680","680.1.1","N/A","N/A","N/A"
"681","TRHR","ENSG00000174417","681.1.1","N/A","N/A","N/A"
"682","UTS2R","ENSG00000181408","682.1.1","npr-24","WBGene00020086","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q23033]"
"683","LYVE1","ENSG00000133800","683.1.1","N/A","N/A","N/A"
"684","PVR","ENSG00000073008","684.1.1","N/A","N/A","N/A"
"685","FZD9","ENSG00000188763","685.1.1","N/A","N/A","N/A"
"686","RYK","ENSG00000163785","686.1.1","lin-18","WBGene00003007","Inactive tyrosine-protein kinase RYK  [Source:UniProtKB/Swiss-Prot;Acc:G5EGT9]"
"687","APCDD1","ENSG00000154856","687.1.1","N/A","N/A","N/A"
"688","MCAM","ENSG00000076706","688.1.1","N/A","N/A","N/A"
"689","ROR1","ENSG00000185483","689.1.1","N/A","N/A","N/A"
"690","TLR5","ENSG00000187554","690.1.1","N/A","N/A","N/A"
"691","TLR6","ENSG00000174130","691.1.1","N/A","N/A","N/A"
